k,silhouette,calinski_harabasz,davies_bouldin
2,0.31674572825431824,2911.649169921875,1.2700309850871072
3,0.38497915863990784,3896.173828125,0.9391573269299013
4,0.32409390807151794,3437.513427734375,1.0664082643011843
5,0.3100268244743347,3296.86181640625,1.1934486902443133
6,0.34558501839637756,3341.97216796875,1.0216675528315342
7,0.34240594506263733,3315.2216796875,1.0486443422010108
8,0.3436570167541504,3241.420654296875,0.99090799264174
9,0.3334828019142151,3178.150146484375,1.0236861181443817
10,0.3377290368080139,3176.273681640625,1.083774003687165
11,0.3444489538669586,3140.336181640625,1.0734081201759855
12,0.3529813587665558,3100.54443359375,1.0657986334918688
13,0.34470218420028687,3050.25146484375,1.0976479113840472
14,0.3549393117427826,2985.59326171875,1.0468372079997885
15,0.36238375306129456,2938.584228515625,1.0362963578840352
16,0.35880059003829956,2910.952392578125,1.0397706172498453
17,0.3645073473453522,2887.217529296875,1.0194591320969355
18,0.36588168144226074,2856.145263671875,1.0080596867902554
19,0.3733419179916382,2858.4697265625,0.9923776126985336
20,0.3588007688522339,2841.143310546875,0.9973091370024024
