term,weight
oc,0.06562851633131954
just,0.030454476523787813
like,0.027697828451229985
don,0.02446349319446616
ae,0.023122718960701425
ee,0.022353523564884414
time,0.02099392294594195
love,0.02022856576222299
make,0.02020388023769751
new,0.020029210506323433
little,0.019439906974999064
day,0.019360428194803356
year,0.018760664855996877
life,0.01812237381930505
meme,0.01634854644060571
friend,0.01604076900778787
know,0.015929608095653646
happy,0.01512486318630481
want,0.01480336356463839
did,0.014663864272706578
ll,0.0141454673415892
need,0.01382512856528963
people,0.013491705677318364
good,0.013362349436130043
does,0.013036569771871752
oe,0.012795253162805078
world,0.012063455406072352
way,0.011643200222113258
say,0.011456146564467811
let,0.011215851245984693
